OP_UNIQUE_CARRIER,YEAR,QUARTER,MONTH,FL_DATE,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_NM,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DIV_DISTANCE,,
AA,1,4,12,365,741,56,1,1,1,1,1,1,1,7,8,7,7,7,7,7,313,79,938,1016,63,337,2,4,2,181,74,97,4,200,2
AS,1,4,12,364,167,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,43,226,252,41,131,2,3,2,39,12,41,2,48,2
B6,1,4,12,364,188,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,157,45,382,381,48,178,2,3,2,58,4,63,2,98,2
DL,1,4,12,365,334,105,1,1,1,1,1,1,1,6,6,6,6,6,6,6,274,67,947,996,54,300,2,4,2,177,28,72,3,165,3
F9,1,4,12,365,117,14,1,1,1,1,1,1,1,6,7,6,6,6,6,6,172,43,665,642,53,192,2,3,1,67,13,68,2,117,1
MQ,1,4,12,355,106,24,1,1,1,1,1,1,1,3,4,3,3,3,3,3,109,43,330,328,34,136,2,3,2,37,17,51,3,63,2
NK,1,4,12,365,193,52,1,1,1,1,1,1,1,17,19,15,17,17,13,13,267,63,1104,1153,77,294,2,4,2,146,109,133,9,166,2
OH,1,1,1,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,8,8,7,7,8,2,2,1,2,2,2,2,2,1
OO,1,4,12,365,416,339,1,1,1,1,1,1,1,74,76,74,74,74,33,32,312,91,989,1030,74,349,2,4,2,219,104,42,5,204,6
UA,1,4,12,365,810,871,1,1,1,1,1,1,1,78,81,71,78,77,42,41,432,105,1212,1276,112,458,2,5,2,273,169,201,3,302,7
WN,1,4,12,365,758,371,1,1,1,1,1,1,1,9,10,9,9,9,8,8,226,68,1041,1042,57,250,2,5,2,109,29,89,10,158,2
YV,1,4,12,365,132,302,1,1,1,1,1,1,1,70,72,68,70,69,33,32,365,87,989,1043,87,386,2,5,2,298,131,147,7,124,6
YX,1,4,12,351,100,19,1,1,1,1,1,1,1,4,4,4,4,4,4,4,131,51,383,417,39,165,2,4,2,39,14,68,2,59,4
