"carrier_name","weather_delay"
"American Airlines Inc.","777"
"Alaska Airlines Inc.","373"
"JetBlue Airways","0"
"Delta Air Lines Inc.","392"
"Frontier Airlines Inc.","234"
"Envoy Air","340"
"Spirit Air Lines","202"
"SkyWest Airlines Inc.","1429"
"United Air Lines Inc.","2004"
"Southwest Airlines Co.","270"
"Mesa Airlines Inc.","2497"
"Republic Airline","0"
"American Airlines Inc.","241"
"Alaska Airlines Inc.","85"
"JetBlue Airways","125"
"Delta Air Lines Inc.","309"
"Frontier Airlines Inc.","63"
"Envoy Air","134"
"Spirit Air Lines","182"
"SkyWest Airlines Inc.","1104"
"United Air Lines Inc.","1537"
"Southwest Airlines Co.","0"
"Mesa Airlines Inc.","864"
"Republic Airline","0"
"American Airlines Inc.","269"
"Alaska Airlines Inc.","0"
"JetBlue Airways","0"
"Delta Air Lines Inc.","30"
"Frontier Airlines Inc.","0"
"Envoy Air","0"
"Spirit Air Lines","133"
"SkyWest Airlines Inc.","431"
"United Air Lines Inc.","298"
"Southwest Airlines Co.","4"
"Mesa Airlines Inc.","636"
"Republic Airline","0"
"American Airlines Inc.","563"
"Alaska Airlines Inc.","0"
"JetBlue Airways","0"
"Delta Air Lines Inc.","0"
"Frontier Airlines Inc.","70"
"Envoy Air","67"
"Spirit Air Lines","377"
"SkyWest Airlines Inc.","894"
"United Air Lines Inc.","1654"
"Southwest Airlines Co.","178"
"Mesa Airlines Inc.","2840"
"Republic Airline","67"
"American Airlines Inc.","1048"
"Alaska Airlines Inc.","25"
"JetBlue Airways","0"
"Delta Air Lines Inc.","302"
"Frontier Airlines Inc.","24"
"Envoy Air","0"
"Spirit Air Lines","287"
"SkyWest Airlines Inc.","2072"
"United Air Lines Inc.","4992"
"Southwest Airlines Co.","817"
"Mesa Airlines Inc.","3559"
"Republic Airline","28"
"American Airlines Inc.","629"
"Alaska Airlines Inc.","0"
"JetBlue Airways","0"
"Delta Air Lines Inc.","368"
"Frontier Airlines Inc.","0"
"Envoy Air","22"
"Spirit Air Lines","810"
"SkyWest Airlines Inc.","482"
"United Air Lines Inc.","2176"
"Southwest Airlines Co.","144"
"Mesa Airlines Inc.","2779"
"Republic Airline","465"
"American Airlines Inc.","1271"
"Alaska Airlines Inc.","0"
"JetBlue Airways","330"
"Delta Air Lines Inc.","397"
"Frontier Airlines Inc.","0"
"Envoy Air","103"
"Spirit Air Lines","304"
"SkyWest Airlines Inc.","868"
"United Air Lines Inc.","3338"
"Southwest Airlines Co.","71"
"Mesa Airlines Inc.","3736"
"Republic Airline","337"
"American Airlines Inc.","577"
"Alaska Airlines Inc.","0"
"JetBlue Airways","0"
"Delta Air Lines Inc.","84"
"Frontier Airlines Inc.","0"
"Envoy Air","0"
"Spirit Air Lines","284"
"SkyWest Airlines Inc.","1200"
"United Air Lines Inc.","3500"
"Southwest Airlines Co.","39"
"Mesa Airlines Inc.","2299"
"Republic Airline","0"
"American Airlines Inc.","256"
"Alaska Airlines Inc.","0"
"JetBlue Airways","0"
"Delta Air Lines Inc.","246"
"Frontier Airlines Inc.","0"
"Envoy Air","23"
"Spirit Air Lines","176"
"SkyWest Airlines Inc.","1259"
"United Air Lines Inc.","2465"
"Southwest Airlines Co.","277"
"Mesa Airlines Inc.","1680"
"Republic Airline","0"
"American Airlines Inc.","125"
"Alaska Airlines Inc.","55"
"JetBlue Airways","0"
"Delta Air Lines Inc.","514"
"Frontier Airlines Inc.","5"
"Envoy Air","2"
"Spirit Air Lines","208"
"PSA Airlines Inc.","0"
"SkyWest Airlines Inc.","4201"
"United Air Lines Inc.","841"
"Southwest Airlines Co.","142"
"Mesa Airlines Inc.","2241"
"Republic Airline","2"
"American Airlines Inc.","187"
"Alaska Airlines Inc.","0"
"JetBlue Airways","0"
"Delta Air Lines Inc.","615"
"Frontier Airlines Inc.","0"
"Envoy Air","55"
"Spirit Air Lines","784"
"SkyWest Airlines Inc.","1825"
"United Air Lines Inc.","715"
"Southwest Airlines Co.","52"
"Mesa Airlines Inc.","4748"
"Republic Airline","12"
"American Airlines Inc.","98"
"Alaska Airlines Inc.","0"
"JetBlue Airways","0"
"Delta Air Lines Inc.","506"
"Frontier Airlines Inc.","0"
"Envoy Air","19"
"Spirit Air Lines","305"
"SkyWest Airlines Inc.","1959"
"United Air Lines Inc.","1733"
"Southwest Airlines Co.","288"
"Mesa Airlines Inc.","2950"
"Republic Airline","0"
